name,city,country
Aero B Ranch Airport,Leoti,US
Lowell Field,Anchor Point,US
Epps Airpark,Harvest,US
Katmai Lodge Airport,King Salmon,US
Arland Airport,Bennington,US
Fulton Airport,Alex,US
Goldstone /Gts/ Airport,Barstow,US
Williams Ag Airport,Biggs,US
Grass Patch Airport,Bushnell,US
River Oak Airport,Okeechobee,US
Lt World Airport,Lithonia,US
Delta Shores Airport,Clark Fork,US
Goltl Airport,Mcdonald,US
Hammer Airport,Polo,US
Hayenga's Cant Find Farms Airport,Kings,US
Hayden Farm Airport,Gardner,US
Lejeune Airport,Esterwood,US
Battle Lake Municipal Airport,Battle Lake,US
North Raleigh Airport,Louisburg,US
Gull Bay Landing Airport,Sandsprings,US
Ferrell Field,Mercer,US
Flying O Airport,Sumter,US
Homan Field,Gary,US
Thompson Farms Airport,Lebanon,US
Alpine Range Airport,Everman,US
Nowhere Airport,Goodlett,US
Delva Field,Van,US
Vaughan Airport,Alton,US
Groundhog Mountain Airport,Hillsville,US
Howell Airport,Longbranch,US
Northern Lite Airport,Waupaca,US
Hawks Run Airport,Asotin,US
Lazy J Aerodrome,Beverly,US
Weeski Ranch Airport,Hempstead,US
Ware Island Airport,Clanton,US
Mc Hone Heights Airport,Wasilla,US
Swansboro Country Airport,Placerville,US
Coleman Homestead Airport,Talkeetna,US
Rybolt Ranch Airport,Orlando,US
Cedar Knoll Flying Ranch Airport,Geneva,US
The Farm Airport,Wrightsville,US
Lava Hot Springs Airpark,Lava Hot Springs,US
Barham Airport,Oak Ridge,US
Crystal Lakes Resort Airport,Fortine,US
Topsail Airpark,Holly Ridge,US
Moore Airfield,Canaan,US
Granville Airport,Granville,US
Champion Ranch Airport,Artesia,US
Lantana Ranch Airport,Yerington,US
Spring Creek Ranch East Airport,Tishomingo,US
Powell Kaiser Airport,Bolivar,US
Nort's Resort Airport,Meshoppen,US
York Airport,York,US
Hd Farm & Ranch Airport,Burnet,US
Colonial Air Park,Collierville,US
Fort Parker Flying Field,Groesbeck,US
Beulah Field,Graham,US
Pickles Airport,Berryville,US
Kilo Kilo Aerodrome,Wausau,US
Keyhole Airport,Moorcroft,US
Barefoot Airport,Big Lake,US
Rustic Wilderness Airport,Willow,US
Bass Field,Foley,US
Emerald Ridge Airport,Homer,US
Mount Moriah Field,Murfreesboro,US
Shannon Field,Clarksdale,US
Mc Cullough Airport,Monte Vista,US
Osborn Airfield,Groveland,US
Triple R Ranch Airport,Baker,US
Doug Bolton Field,Commerce,US
Etowah Fields Airport,Euharlee,US
Morgan Ranch Airport,Cascade,US
Diamond P Field,Muncie,US
Jmj Landing Airport,St Marys,US
Garner Field,Brandywine,US
Nadeau's Airfield,Acton,US
Fairplains Airpark,Greenville,US
Troy Airpark,Troy,US
Watts Field,Rochdale,US
Steppler Field,Culbertson,US
Ffr Animas Landing Strip,Animas,US
Paiute Meadows Airport,Winnemucca,US
Bobbitt Airport,Lamont,US
Cuylers Airport,Vega Baja,US
Harpers Airport,Estill,US
Ellis Field,Murfreesboro,US
El Tesoro Ranch Airport,Charlotte,US
Lucin Airport,Lucin,US
Cawleys South Prairie Airport,South Prairie,US
Beer Airport,Hudson,US
Fowler Field,Tonasket,US
Jls Farms Airport,Honey Grove,US
Seidel Ranch Airport,Elroy,US
Thompson International Aviation Airport,Hereford,US
Blue Water Airport,Saguache,US
Lake Persimmon Airstrip,Lake Placid,US
Greens Farm Field,Cape Coral,US
Hia Airport,Statesboro,US
Flatlander Airport,Elliott,US
Flying Y Ranch Airport,Council,US
Wix Airport,Monee,US
Flying H Farms Airport,Henderson,US
Hadley Airport,Hadley,US
Maple Ridge Airport,Harrison,US
Nauerth Land Ranch Airport,Lakefield,US
Dorton Airport,Richmond,US
Mc Donnell Airport,Archie,US
Pilots Ridge Airport,Carolina Beach,US
Olafson Brothers Airport,Edinburg,US
Llama Ranch Airport,Ruby Valley,US
Talmage Field,Riverhead,US
Gibbs Field,Fremont,US
Sahoma Lake Airport,Sapulpa,US
Bluebird Airport,Alex,US
Powwatka Ridge Airport,Troy,US
Sun View Field,Bonner Springs,US
Barronena Ranch Airport,Hebbronville,US
Brazos Polo Airport,Orchard,US
A Z Minerals Corporation Airport,Mexican Hat,US
Spangle Field,Spangle,US
Aerostone Airfield,Goldendale,US
Perala Field,Sundance,US
Creekside Airport,Mertzon,US
Flying W Ranch Airport,Soldotna,US
North 40 Airport,Sutton,US
White Hills Airport,White Hills,US
Gray Butte Field,Palmdale,US
Desert Wings Sky Ranch Airport,Julian,US
Richards Field,Homestead,US
Cross Creek Farms Airport,Ormond,US
Middlekoop Airport,Packwood,US
Lanham Field,Emmett,US
Full Throttle Airport,Hudson,US
Van Gorder Airport,Mansfield,US
Kraemer Airfield,Minneola,US
Natchez Trace Farm Airport,Hiseville,US
Goddard Airport,Haverhill,US
Beech Hill Airport,Mercer,US
Rapids Airway Airport,Eaton Rapids,US
Helblad Airport,Kelliher,US
Nicks Flying Service Inc Airport,Rolling Fork,US
Mc Connell Field,Sarben,US
Emmanuel Airport,Elmer,US
Kingston Ranch Airport,Sandy Valley,US
Klaverack Airport,Hudson,US
Collins Landing Strip,Mitchell,US
Hensley Airpark,Chuckey,US
Brushy Creek Ranch Airport,Utopia,US
Pocock Airport,China Spring,US
Navajo Mountain Airport,Navajo Mountain Trdng Post,US
Lightning Bolt Field,Cabot,US
Ox Meadows Airport,Spokane,US
Dutch Gap Airstrip,Bristol,US
Stillwater Creek Airport,Royal City,US
Pecan Field,Jermyn,US
Wasilla Creek Airpark,Palmer,US
Weltons Aerodrome,Fox,US
Ozark Skies Airpark,Kingston,US
Pope Valley Airport,Pope Valley,US
Rancho De Aereo Airport,Mead,US
Melanie's Airport,Florala,US
Charlton Strip,La Belle,US
Ark Airport,Richland,US
Spotts Field,Nora Springs,US
Running Creek Ranch Airport,Grangeville,US
Classic Landings Airport,Bonfield,US
Cooper Airport,Belleville,US
Darbro Field,Elk City,US
High Point Farm Airport,Frankfort,US
Cartersville Airport,Berea,US
Greg's Flying Service Airport,Baskin,US
Grass Roots Airport,Alexandria,US
Breezecroft Airport,Chestertown,US
Drisko Kelley Airport,Jonesboro,US
Jetsetter Outdoors Airport,Edina,US
Jones Landing Airport,Belgrade,US
Dead Cow Field,Beaufort,US
Mc Kay Airport,Spalding,US
Fox Field,Mebane,US
Baker Ranches Airport,Baker,US
Eaglecrest Field,Conesville,US
Muncy Airport,Hydro,US
6 Ranch Airport,Enterprise,US
Mills Brothers Airport,Burnt Cabins,US
Brandes Air Field,Sealy,US
Hilde-Griff Field,Georgetown,US
Circle 'A' Ranch Airport,Blum,US
Sand Cove Ranch Airport,Veyo,US
Providence Airport,Farmville,US
Ames Private Airport,Darien,US
Flat Creek Field,Kettle Falls,US
Johnson Memorial Airport,Wilmot,US
Twisted Sisters Airport,Sterling,US
June Lake Airpark,Wasilla,US
Niesen Airstrip,Nikiski,US
Cy Bond Memorial Airport,Higden,US
Jecan Airport,Branson,US
William P Gwinn Airport,Jupiter,US
Grass Roots Airpark,Mascotte,US
Rich Field,Walford,US
Larkin Airport,Kuna,US
Humm Airport,Earlville,US
Sinele Strip,Nauvoo,US
Noahs Ark Airport,Waldron,US
Torgerson Airport,Ethridge,US
Tailwinds Airport,St. Pauls,US
