"Country","City Code","City Name","Airport Code","Airport Name"
"United Arab Emirates","DXB","Dubai","DWC","Al Maktoum Intl"
"United Arab Emirates","DXB","Dubai","DXB","International"
"Argentina","BUE","Buenos Aires","AEP","Jorge Newbery"
"Argentina","BUE","Buenos Aires","EZE","Ministro Pistarini"
"Australia","MEL","Melbourne","AVV","Avalon"
"Australia","MEL","Melbourne","MEL","Melbourne Airport"
"Belgium","BRU","Brussels","BRU","Brussels Airport"
"Belgium","BRU","Brussels","CRL","Brussels S. Charleroi"
"Brasil","BHZ","Belo Horizonte","CNF","Tancredo Neves Intl"
"Brasil","BHZ","Belo Horizonte","PLU","Pampulha"
"Brasil","RIO","Rio de Janeiro","GIG","Galeao-A.C.Jobim Intl"
"Brasil","RIO","Rio de Janeiro","SDU","Santos Dumont"
"Brasil","SAO","Sao Paulo","CGH","Congonhas"
"Brasil","SAO","Sao Paulo","GRU","Guarulhos Intl"
"Brasil","SAO","Sao Paulo","VCP","Viracopos-Campinas In"
"Canada","YTO","Toronto","YTZ","Billy Bishop City A/P"
"Canada","YTO","Toronto","YYZ","Lester B. Pearson Int"
"CA","BJS","Beijing","PEK","Capital Intl"
"China","BJS","Beijing","PKX","Daxing Intl."
"China","SHA","Shanghai","PVG","Pudong Intl"
"China","SHA","Shanghai","SHA","Hongqiao Intl"
"Spain","TCI","Tenerife","TFN","Tenerife-Norte"
"Spain","TCI","Tenerife","TFS","Tenerife-Sur"
"France","PAR","Paris","CDG","Charles de Gaulle"
"France","PAR","Paris","ORY","Orly"
"Great Britain","BFS","Belfast","BFS","International"
"Great Britain","BFS","Belfast","BHD","George Best City Apt"
"Great Britain","LON","London","LCY","City Airport"
"Great Britain","LON","London","LGW","Gatwick"
"Great Britain","LON","London","LHR","Heathrow"
"Great Britain","LON","London","LTN","Luton"
"Great Britain","LON","London","STN","Stansted"
"Indonesia","JKT","Jakarta","CGK","Soekarno-Hatta Intl"
"Indonesia","JKT","Jakarta","HLP","Halim Perdanakusuma"
"Indonesia","JOG","Yogyakarta","JOG","Adisutjipto"
"Indonesia","JOG","Yogyakarta","YIA","New Yogyakarta Int."
"Iran","THR","Tehran","IKA","Imam Khomeini Intl"
"Iran","THR","Tehran","THR","Mehrabad Intl"
"Iceland","REK","Reykjavik","KEF","Keflavik International"
"Iceland","REK","Reykjavik","RKV","Reykjavik Domestic"
"Italy","MIL","Milan","BGY","Bergamo/Orio al Serio"
"Italy","MIL","Milan","LIN","Linate"
"Italy","MIL","Milan","MXP","Malpensa"
"Italy","ROM","Rome","CIA","Ciampino"
"Italy","ROM","Rome","FCO","Fiumicino"
"Japan","NGO","Nagoya","NGO","Chubu Centrair International"
"Japan","NGO","Nagoya","NKM","Nagoya (Komaki)"
"Japan","OSA","Osaka","ITM","Osaka Intl (Itami)"
"Japan","OSA","Osaka","KIX","Kansai International"
"Japan","OSA","Osaka","UKB","Kobe"
"Japan","SPK","Sapporo","CTS","New Chitose"
"Japan","SPK","Sapporo","OKD","Okadama"
"Japan","TYO","Tokyo","HND","Tokyo Intl (Haneda)"
"Japan","TYO","Tokyo","NRT","Narita Intl"
"Korea","SEL","Seoul","GMP","Gimpo International"
"Korea","SEL","Seoul","ICN","Incheon International"
"Sierra Leone","SLU","St Lucia","SLU","George F.L. Charles"
"Sierra Leone","SLU","St Lucia","UVF","Hewanorra Int’l"
"Norway","OSL","Oslo","OSL","Gardermoen"
"Norway","OSL","Oslo","TRF","Sandefjord-Torp"
"Russia","MOW","Moscow","DME","Domodedovo"
"Russia","MOW","Moscow","SVO","Sheremetyevo"
"Russia","MOW","Moscow","VKO","Vnukovo"
"Sweden","STO","Stockholm","ARN","Arlanda"
"Sweden","STO","Stockholm","BMA","Bromma"
"Senegal","DKR","Dakar","DKR","Leopold Sedar Senghor"
"Senegal","DKR","Dakar","DSS","Blaise Diagne Intl"
"Thailand","BKK","Bangkok","BKK","Suvarnabhumi Airport"
"Thailand","BKK","Bangkok","DMK","Don Mueang Int'l"
"Turkey","ANK","Ankara","ANK","Etimesgut"
"Turkey","ANK","Ankara","ESB","Esenboga"
"Turkey","IST","Istanbul","ISL","Ataturk"
"Turkey","IST","Istanbul","IST","Istanbul Airport"
"Turkey","IST","Istanbul","SAW","Sabiha Gokcen"
"Taiwan","TPE","Taipei","TPE","Taoyuan International Airport"
"Taiwan","TPE","Taipei","TSA","Songshan"
"Ukraine","IEV","Kyiv","IEV","Kyiv International Airport"
"Ukraine","IEV","Kyiv","KBP","Boryspil Intl"
"United States","CHI","Chicago","MDW","Midway International"
"United States","CHI","Chicago","ORD","O'Hare International"
"United States","DFW","Dallas","DAL","Love Field"
"United States","DFW","Dallas","DFW","Dallas/Ft Worth Intl"
"United States","HOU","Houston","HOU","William P Hobby Airport"
"United States","HOU","Houston","IAH","George Bush Intercontinental"
"United States","NYC","New York","JFK","John F Kennedy Intl"
"United States","NYC","New York","LGA","LaGuardia"
"United States","WAS","Washington","DCA","Ronald Reagan National"
"United States","WAS","Washington","IAD","Dulles Intl"
"South Africa","JNB","Johannesburg","HLA","Lanseria International"
